,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
99,Dante Pettis,CHI,27,WR,1,1,1,1,51,51,1,1,51,1,51,100.0%,51,,,,0,,,,,1,51,51,1,0
100,David Montgomery,CHI,25,RB,1,1,4,3,24,8,0,1,16,3,24,75.0%,6,17,26,0,0,6,1.5,26,17,20,2.5,50,0,0
101,D.J. Moore,CAR,25,WR,1,1,6,3,43,14.3,0,2,26,3,43,50.0%,7.2,1,7,0,0,7,7,7,1,4,12.5,50,0,0
102,Justin Watson,KAN,26,WR,2,0,1.5,1,25,25,0.5,0.5,41,1,25,66.7%,16.7,,,,0,,,,,1,25,25,1,0
103,Ezekiel Elliott,DAL,27,RB,1,1,2,1,-3,-3,0,0,-3,1,-3,50.0%,-1.5,10,52,0,3,7,5.2,52,10,11,4.5,49,0,0
104,Elijah Moore,NYJ,22,WR,1,1,7,5,49,9.8,0,3,24,5,49,71.4%,7,,,,0,,,,,5,9.8,49,0,0
105,Olamide Zaccheaus,ATL,25,WR,1,1,4,4,49,12.3,0,1,22,4,49,100.0%,12.3,,,,0,,,,,4,12.3,49,0,1
106,Romeo Doubs,GNB,22,WR,1,0,5,4,37,9.3,0,1,23,4,37,80.0%,7.4,1,11,0,1,11,11,11,1,5,9.6,48,0,0
107,Brandon Aiyuk,SFO,24,WR,1,1,3,2,40,20,0,1,31,2,40,66.7%,13.3,1,7,0,0,7,7,7,1,3,15.7,47,0,0
108,Joe Burrow,CIN,26,QB,1,1,0,0,0,,0,0,0,0,0,0.0%,,6,47,0,3,23,7.8,47,6,6,7.8,47,0,2
109,Kenyan Drake,BAL,28,RB,1,1,1,1,15,15,0,1,15,1,15,100.0%,15,11,31,0,1,8,2.8,31,11,12,3.8,46,0,0
110,Ashton Dulin,IND,25,WR,1,0,6,3,46,15.3,0,2,23,3,46,50.0%,7.7,,,,0,,,,,3,15.3,46,0,0
111,Hayden Hurst,CIN,29,TE,1,1,8,5,46,9.2,0,3,20,5,46,62.5%,5.8,,,,0,,,,,5,9.2,46,0,0
112,Alvin Kamara,NOR,27,RB,1,1,4,3,7,2.3,0,1,15,3,7,75.0%,1.8,9,39,0,1,15,4.3,39,9,12,3.8,46,0,0
113,Logan Thomas,WAS,31,TE,1,1,6,3,45,15,0,2,27,3,45,50.0%,7.5,,,,0,,,,,3,15,45,0,0
114,Marquise Brown,ARI,25,WR,1,1,6,4,43,10.8,1,2,26,4,43,66.7%,7.2,,,,0,,,,,4,10.8,43,1,0
115,Will Dissly,SEA,26,TE,1,1,3,3,43,14.3,1,1,38,3,43,100.0%,14.3,,,,0,,,,,3,14.3,43,1,0
116,Khalil Herbert,CHI,24,RB,1,0,1,1,-2,-2,0,0,-2,1,-2,100.0%,-2,9,45,1,3,12,5,45,9,10,4.3,43,1,0
117,Juwan Johnson,NOR,26,TE,1,0,5,2,43,21.5,0,1,26,2,43,40.0%,8.6,,,,0,,,,,2,21.5,43,0,0
118,Colby Parkinson,SEA,23,TE,1,0,2,2,43,21.5,1,2,25,2,43,100.0%,21.5,,,,0,,,,,2,21.5,43,1,0
119,Kendrick Bourne,NWE,27,WR,1,0,1,1,41,41,0,1,41,1,41,100.0%,41,,,,0,,,,,1,41,41,0,0
120,Elijah Mitchell,SFO,24,RB,1,1,0,0,0,,0,0,0,0,0,0.0%,,6,41,0,2,16,6.8,41,6,6,6.8,41,0,0
121,Chris Olave,NOR,22,WR,1,0,3,3,41,13.7,0,2,20,3,41,100.0%,13.7,,,,0,,,,,3,13.7,41,0,0
122,Christian Watson,GNB,23,WR,1,1,4,2,34,17,0,1,25,2,34,50.0%,8.5,1,7,0,0,7,7,7,1,3,13.7,41,0,0
123,Zach Gentry,PIT,26,TE,1,0,2,2,40,20,0,1,32,2,40,100.0%,20,,,,0,,,,,2,20,40,0,0
124,Tyler Higbee,LAR,29,TE,1,1,11,5,39,7.8,0,4,11,5,39,45.5%,3.5,,,,0,,,,,5,7.8,39,0,0
125,Josh Palmer,LAC,24,WR,2,2,6,3.5,17.5,5,0.5,1.5,10,3.5,17.5,58.3%,2.9,0.5,2,0,0.5,4,4,2,0.5,4,4.9,19.5,1,0
126,Dameon Pierce,HOU,22,RB,1,1,1,1,6,6,0,0,6,1,6,100.0%,6,11,33,0,2,8,3,33,11,12,3.3,39,0,0
127,Anthony Schwartz,CLE,22,WR,1,0,2,1,19,19,0,1,19,1,19,50.0%,9.5,2,20,0,1,15,10,20,2,3,13,39,0,0
128,T.J. Hockenson,DET,25,TE,1,1,7,4,38,9.5,0,3,16,4,38,57.1%,5.4,,,,0,,,,,4,9.5,38,0,0
129,KhaDarel Hodge,ATL,27,WR,1,1,3,3,38,12.7,0,1,18,3,38,100.0%,12.7,,,,0,,,,,3,12.7,38,0,0
130,O.J. Howard,HOU,28,TE,1,0,2,2,38,19,2,2,22,2,38,100.0%,19,,,,0,,,,,2,19,38,2,0
131,Marvin Jones,JAX,32,WR,1,1,6,4,38,9.5,0,3,12,4,38,66.7%,6.3,,,,0,,,,,4,9.5,38,0,0
132,Braxton Berrios,NYJ,27,WR,1,0,6,5,37,7.4,0,2,13,5,37,83.3%,6.2,,,,0,,,,,5,7.4,37,0,0
133,Parris Campbell,IND,25,WR,1,1,4,3,37,12.3,0,3,20,3,37,75.0%,9.3,,,,0,,,,,3,12.3,37,0,0
134,Samaje Perine,CIN,27,RB,1,0,5,3,33,11,0,1,14,3,33,60.0%,6.6,1,4,0,0,4,4,4,1,4,9.3,37,0,0
135,Alexander Mattison,MIN,24,RB,1,0,0,0,0,,0,0,0,0,0,0.0%,,8,36,0,2,10,4.5,36,8,8,4.5,36,0,0
136,D.K. Metcalf,SEA,25,WR,1,1,7,7,36,5.1,0,1,15,7,36,100.0%,5.1,,,,0,,,,,7,5.1,36,0,1
137,Zack Moss,BUF,25,RB,1,0,6,6,21,3.5,0,0,8,6,21,100.0%,3.5,6,15,0,1,8,2.5,15,6,12,3,36,0,1
138,Mike Strachan,IND,25,WR,1,0,2,2,36,18,0,2,20,2,36,100.0%,18,,,,0,,,,,2,18,36,0,0
139,Adam Thielen,MIN,32,WR,1,1,4,3,36,12,0,2,22,3,36,75.0%,9,,,,0,,,,,3,12,36,0,0
140,Robert Tonyan,GNB,28,TE,1,1,5,3,36,12,0,1,23,3,36,60.0%,7.2,,,,0,,,,,3,12,36,0,0
141,Chris Godwin,TAM,26,WR,1,1,3,3,35,11.7,0,1,24,3,35,100.0%,11.7,,,,0,,,,,3,11.7,35,0,0
142,Tyler Boyd,CIN,28,WR,1,0,7,4,33,8.3,1,3,22,4,33,57.1%,4.7,,,,0,,,,,4,8.3,33,1,0
143,Albert Okwuegbunam,DEN,24,TE,1,0,6,5,33,6.6,0,2,12,5,33,83.3%,5.5,,,,0,,,,,5,6.6,33,0,0
144,Jonnu Smith,NWE,27,TE,1,1,4,3,33,11,0,2,15,3,33,75.0%,8.3,,,,0,,,,,3,11,33,0,0
145,Kenneth Gainwell,PHI,23,RB,1,0,4,2,12,6,0,1,8,2,12,50.0%,3,5,20,1,2,7,4,20,5,7,4.6,32,1,0
146,Raheem Mostert,MIA,30,RB,1,0,1,1,16,16,0,1,16,1,16,100.0%,16,5,16,0,2,11,3.2,16,5,6,5.3,32,0,0
147,Sony Michel,LAC,27,RB,2,0,0.5,0.5,3,6,0,0,6,0.5,3,100.0%,6,5.5,12.5,0,0.5,7,2.3,12.5,5.5,6,2.6,15.5,0,0
148,Chris Moore,HOU,29,WR,1,0,3,3,31,10.3,0,2,11,3,31,100.0%,10.3,,,,0,,,,,3,10.3,31,0,0
149,Jahan Dotson,WAS,22,WR,1,1,5,3,40,13.3,2,2,24,3,40,60.0%,8,1,-10,0,0,-10,-10,-10,1,4,7.5,30,2,0
150,Skyy Moore,KAN,22,WR,2,0,0.5,0.5,15,30,0,0.5,30,0.5,15,100.0%,30,,,,0,,,,,0.5,30,15,0,0
151,Jamaal Williams,DET,27,RB,1,0,2,1,2,2,0,0,2,1,2,50.0%,1,11,28,2,3,7,2.5,28,11,12,2.5,30,2,0
152,Jeff Wilson,SFO,27,RB,1,0,2,2,8,4,0,0,6,2,8,100.0%,4,9,22,0,0,5,2.4,22,9,11,2.7,30,0,0
153,CeeDee Lamb,DAL,23,WR,1,1,11,2,29,14.5,0,2,16,2,29,18.2%,2.6,,,,0,,,,,2,14.5,29,0,0
154,Kyler Murray,ARI,25,QB,1,1,0,0,0,,0,0,0,0,0,0.0%,,5,29,0,1,21,5.8,29,5,5,5.8,29,0,0
155,Nelson Agholor,NWE,29,WR,1,0,5,3,28,9.3,0,1,17,3,28,60.0%,5.6,,,,0,,,,,3,9.3,28,0,1
156,Brandon Bolden,LVR,32,RB,1,0,2,2,21,10.5,1,1,18,2,21,100.0%,10.5,3,7,0,0,5,2.3,7,3,5,5.6,28,1,0
157,Jamison Crowder,BUF,29,WR,1,0,4,3,28,9.3,0,3,11,3,28,75.0%,7,,,,0,,,,,3,9.3,28,0,0
158,Josiah Deguara,GNB,25,TE,1,0,2,2,28,14,0,2,15,2,28,100.0%,14,,,,0,,,,,2,14,28,0,0
159,Evan Engram,JAX,28,TE,1,1,4,4,28,7,0,1,11,4,28,100.0%,7,,,,0,,,,,4,7,28,0,0
160,Justin Fields,CHI,23,QB,1,1,0,0,0,,0,0,0,0,0,0.0%,,11,28,0,3,12,2.5,28,11,11,2.5,28,0,0
161,Tyler Lockett,SEA,30,WR,1,1,4,3,28,9.3,0,2,17,3,28,75.0%,7,,,,0,,,,,3,9.3,28,0,0
