player,Position_yah,combined_fppd,combined_projection,TEAM,Opponent_yah,Salary_yah,expected_points,ex_ppd,Online_proj,MATCHUP,Start_Sit
Robbie Anderson,WR,0.24072893962212485,2.6480183358433735,CAR,SF,11,0.9971690512048192,0.09065173192771084,6.5,3 out of 5 stars,D
DJ Moore,WR,0.2778870706383225,3.6125319182981928,CAR,SF,13,0.9607598832831326,0.07390460640639482,9.8,3 out of 5 stars,C+
George Pickens,WR,0.2576180271464646,3.0914163257575753,PIT,BUF,12,0.773451893939394,0.06445432449494949,8.5,2 out of 5 stars,C
Joshua Palmer,WR,0.21398959194668346,2.9958542872535685,LAC,CLE,14,0.8940775532193834,0.0638626823728131,7.9,4 out of 5 stars,C-
Gabe Davis,WR,0.24711793486727593,4.201004892743691,BUF,PIT,17,1.0728641324909876,0.06310965485241103,11.5,4 out of 5 stars,B
Taysom Hill,TE,0.07836249272843719,1.253799883654995,NO,SEA,16,0.03399983379285055,0.00212498961205315,4.1,5 out of 5 stars,F
Marvin Jones Jr,WR,0.23166967433113725,2.5483664176425096,JAC,HOU,11,0.7690948823464427,0.06991771657694934,6.7,3 out of 5 stars,D
Allen Robinson II,WR,0.16084242807736823,2.895163705392628,LAR,DAL,18,0.6645195791323265,0.03691775439624036,8.1,4 out of 5 stars,C
Irv Smith Jr,TE,0.1712001641651032,2.2256021341463414,MIN,CHI,13,0.6080030487804878,0.04676946529080676,6,3 out of 5 stars,D
Jelani Woods,TE,0.12673830876542747,1.3941213964197021,IND,DEN,11,0.44874485202814574,0.04079498654801325,3.6,3 out of 5 stars,F
