player,Position_yah,Opponent_yah,expected_points,Salary_yah,home_away,ex_ppd
Tyler Kroft,NA,NA,NA,NA,NA,NA
Josh Oliver,NA,NA,NA,NA,NA,NA
Jordan Mason,NA,NA,NA,NA,NA,NA
Tyquan Thornton,NA,NA,NA,NA,NA,NA
Wan Dale Robinson,NA,NA,NA,NA,NA,NA
Nick Vannett,NA,NA,NA,NA,NA,NA
Chris Evans,NA,NA,NA,NA,NA,NA
Ty Johnson,NA,NA,NA,NA,NA,NA
Jack Stoll,NA,NA,NA,NA,NA,NA
Jalen Tolbert,NA,NA,NA,NA,NA,NA
KaVontae Turpin,NA,NA,NA,NA,NA,NA
Derek Watt,NA,NA,NA,NA,NA,NA
Stephen Anderson,NA,NA,NA,NA,NA,NA
Marcedes Lewis,NA,NA,NA,NA,NA,NA
Damien Williams,NA,NA,NA,NA,NA,NA
Taylor Heinicke,NA,NA,NA,NA,NA,NA
Sam Howell,NA,NA,NA,NA,NA,NA
Curtis Hodges,NA,NA,NA,NA,NA,NA
Eli Wolf,NA,NA,NA,NA,NA,NA
Patrick Scales,NA,NA,NA,NA,NA,NA
Trevor Siemian,NA,NA,NA,NA,NA,NA
Khari Blasingame,NA,NA,NA,NA,NA,NA
Jake Tonges,NA,NA,NA,NA,NA,NA
N Keal Harry,NA,NA,NA,NA,NA,NA
Washington Commanders,NA,NA,NA,NA,NA,NA
Chicago Bears,NA,NA,NA,NA,NA,NA
Marlon Mack,NA,NA,NA,NA,NA,NA
Charlie Woerner,NA,NA,NA,NA,NA,NA
Danny Gray,NA,NA,NA,NA,NA,NA
Brock Purdy,NA,NA,NA,NA,NA,NA
Jordan Matthews,NA,NA,NA,NA,NA,NA
Keith Smith,NA,NA,NA,NA,NA,NA
Damiere Byrd,NA,NA,NA,NA,NA,NA
Feleipe Franks,NA,NA,NA,NA,NA,NA
Desmond Ridder,NA,NA,NA,NA,NA,NA
Jared Bernhardt,NA,NA,NA,NA,NA,NA
John FitzPatrick,NA,NA,NA,NA,NA,NA
Beau Brinkley,NA,NA,NA,NA,NA,NA
San Francisco 49ers,NA,NA,NA,NA,NA,NA
Atlanta Falcons,NA,NA,NA,NA,NA,NA
Matthew Slater,NA,NA,NA,NA,NA,NA
Pierre Strong Jr,NA,NA,NA,NA,NA,NA
Kristian Wilkerson,NA,NA,NA,NA,NA,NA
Joshua Dobbs,NA,NA,NA,NA,NA,NA
D Ernest Johnson,NA,NA,NA,NA,NA,NA
Kellen Mond,NA,NA,NA,NA,NA,NA
Demetric Felton,NA,NA,NA,NA,NA,NA
Jerome Ford,NA,NA,NA,NA,NA,NA
Michael Woods II,NA,NA,NA,NA,NA,NA
Jesse James,NA,NA,NA,NA,NA,NA
Jakeem Grant Sr,NA,NA,NA,NA,NA,NA
Isaiah Weston,NA,NA,NA,NA,NA,NA
New England Patriots,NA,NA,NA,NA,NA,NA
Cleveland Browns,NA,NA,NA,NA,NA,NA
Mike White,NA,NA,NA,NA,NA,NA
Denzel Mims,NA,NA,NA,NA,NA,NA
Lawrence Cager,NA,NA,NA,NA,NA,NA
Jeremy Ruckert,NA,NA,NA,NA,NA,NA
Nick Bawden,NA,NA,NA,NA,NA,NA
Patrick Taylor,NA,NA,NA,NA,NA,NA
Amari Rodgers,NA,NA,NA,NA,NA,NA
Samori Toure,NA,NA,NA,NA,NA,NA
Jack Coco,NA,NA,NA,NA,NA,NA
New York Jets,NA,NA,NA,NA,NA,NA
Green Bay Packers,NA,NA,NA,NA,NA,NA
Kylin Hill,NA,NA,NA,NA,NA,NA
C J Beathard,NA,NA,NA,NA,NA,NA
JaMycal Hasty,NA,NA,NA,NA,NA,NA
Luke Farrell,NA,NA,NA,NA,NA,NA
Tim Jones,NA,NA,NA,NA,NA,NA
Snoop Conner,NA,NA,NA,NA,NA,NA
