,,,,,Games,,Receiving,,,,,,,,,,,Rushing,,,,,,,,Total Yds,,,,
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb
97,J.D. McKissic,WAS,29,RB,2,0,5,5,37,7.4,0,2,13,5,37,100.0%,7.4,3,8.5,0,1,5,2.8,8.5,3,8,5.7,45.5,0,0
98,Jamaal Williams,DET,27,RB,2,0,1.5,1,4.5,4.5,0,0,7,1,4.5,66.7%,3,11.5,40.5,1,2.5,12,3.5,40.5,11.5,12.5,3.6,45,2,0
99,Jahan Dotson,WAS,22,WR,2,2,5,3.5,49.5,14.1,1.5,3,40,3.5,49.5,70.0%,9.9,0.5,-5,0,0,-10,-10,-5,0.5,4,11.1,44.5,3,0
100,Zach Ertz,ARI,32,TE,2,2,7.5,5,44.5,8.9,0.5,3,16,5,44.5,66.7%,5.9,,,,0,,,,,5,8.9,44.5,1,0
101,JuJu Smith-Schuster,KAN,26,WR,2,2,5.5,4.5,44.5,9.9,0,1.5,20,4.5,44.5,81.8%,8.1,,,,0,,,,,4.5,9.9,44.5,0,1
102,Gabriel Davis,BUF,23,WR,1,1,5,4,88,22,1,3,47,4,88,80.0%,17.6,,,,0,,,,,4,22,88,1,0
103,Zay Jones,JAX,27,WR,2,1,6.5,4.5,44,9.8,0,2.5,18,4.5,44,69.2%,6.8,,,,0,,,,,4.5,9.8,44,0,0
104,Marcus Mariota,ATL,29,QB,2,2,0,0,0,,0,0,0,0,0,0.0%,,9,44,0.5,2,16,4.9,44,9,9,4.9,44,1,1.5
105,Adam Thielen,MIN,32,WR,2,2,5.5,3.5,44,12.6,0,2.5,22,3.5,44,63.6%,8,,,,0,,,,,3.5,12.6,44,0,0
106,Julio Jones,TAM,33,WR,1,0,5,3,69,23,0,2,48,3,69,60.0%,13.8,2,17,0,2,12,8.5,17,2,5,17.2,86,0,0
107,Nico Collins,HOU,23,WR,2,1,6,3,42,14,0,2,29,3,42,50.0%,7,,,,0,,,,,3,14,42,0,0
108,Khalil Herbert,CHI,24,RB,2,0,1,1,0.5,0.5,0,0,3,1,0.5,100.0%,0.5,6.5,41.5,0.5,2,27,6.4,41.5,6.5,7.5,5.6,42,1,0
109,Mark Ingram,NOR,33,RB,2,1,1.5,1.5,2,1.3,0,0,3,1.5,2,100.0%,1.3,7,40,0,2.5,12,5.7,40,7,8.5,4.9,42,0,1
110,Elijah Moore,NYJ,22,WR,2,2,6,4,45,11.3,0,2.5,24,4,45,66.7%,7.5,0.5,-3,0,0,-6,-6,-3,0.5,4.5,9.3,42,0,0
111,Juwan Johnson,NOR,26,TE,2,0,6,3,41.5,13.8,0,1.5,26,3,41.5,50.0%,6.9,,,,0,,,,,3,13.8,41.5,0,0
112,Devin Singletary,BUF,25,RB,2,2,3,2,8,4,0,1,8,2,8,66.7%,2.7,7,33.5,0,1.5,16,4.8,33.5,7,9,4.6,41.5,0,0
113,Mack Hollins,LVR,29,WR,2,1,4.5,3,41,13.7,0,2,23,3,41,66.7%,9.1,,,,0,,,,,3,13.7,41,0,0
114,Rashaad Penny,SEA,26,RB,2,2,1.5,1,3.5,3.5,0,0.5,4,1,3.5,66.7%,2.3,9,37.5,0,1,26,4.2,37.5,9,10,4.1,41,0,0.5
115,Logan Thomas,WAS,31,TE,2,2,5.5,3,41,13.7,0.5,1.5,27,3,41,54.5%,7.5,,,,0,,,,,3,13.7,41,1,0
116,Hunter Renfrow,LVR,27,WR,2,1,8,5,40,8,0,2.5,20,5,40,62.5%,5,,,,0,,,,,5,8,40,0,1.5
117,Dalton Schultz,DAL,26,TE,2,2,6.5,4.5,40,8.9,0,1,14,4.5,40,69.2%,6.2,,,,0,,,,,4.5,8.9,40,0,0.5
118,DeVonta Smith,PHI,24,WR,2,2,5.5,3.5,40,11.4,0,2.5,19,3.5,40,63.6%,7.3,,,,0,,,,,3.5,11.4,40,0,0
119,Rex Burkhead,HOU,32,RB,2,0,5.5,3.5,19.5,5.6,0,0.5,8,3.5,19.5,63.6%,3.5,7,20,0,0.5,8,2.9,20,7,10.5,3.8,39.5,0,0
120,Rhamondre Stevenson,NWE,24,RB,2,0,2,1.5,3,2,0,0,5,1.5,3,75.0%,1.5,8.5,36,0,2,12,4.2,36,8.5,10,3.9,39,0,0
121,Romeo Doubs,GNB,22,WR,2,0,4,3,32,10.7,0,0.5,23,3,32,75.0%,8,0.5,5.5,0,0.5,11,11,5.5,0.5,3.5,10.7,37.5,0,0
122,Evan Engram,JAX,28,TE,2,2,6,5.5,37,6.7,0,2,12,5.5,37,91.7%,6.2,,,,0,,,,,5.5,6.7,37,0,0
123,Joe Burrow,CIN,26,QB,2,2,0,0,0,,0,0,0,0,0,0.0%,,5,36.5,0,2,23,7.3,36.5,5,5,7.3,36.5,0,1.5
124,Marvin Jones,JAX,32,WR,2,2,5.5,3.5,35.5,10.1,0,2.5,13,3.5,35.5,63.6%,6.5,,,,0,,,,,3.5,10.1,35.5,0,0
125,D.K. Metcalf,SEA,25,WR,2,2,6.5,5.5,35.5,6.5,0,1.5,15,5.5,35.5,84.6%,5.5,,,,0,,,,,5.5,6.5,35.5,0,0.5
