,,Receiving,,,,,,,,,,,,Receiving,,,,,,,,,
Rk,Player,Yds,Tgt,Yds,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Pos.,Draft
164,Johnny Mundt,8,1,8,Sun,10,11,2022-11-20,27-362,MIN,,DAL,L 3-40,1,1,8,8,0,100,8,1,TE,
165,Rashid Shaheed,8,2,8,Sun,11,11,2022-11-20,24-081,NOR,,LAR,W 27-20,2,1,8,8,0,50,4,,WR,
166,Jalen Tolbert,8,1,8,Sun,10,11,2022-11-20,23-266,DAL,@,MIN,W 40-3,1,1,8,8,0,100,8,,WR,3-88
167,Kyren Williams,8,2,8,Sun,10,11,2022-11-20,22-086,LAR,@,NOR,L 20-27,2,1,8,8,0,50,4,1,RB,5-164
168,Kenyan Drake,7,4,7,Sun,10,11,2022-11-20,28-298,BAL,,CAR,W 13-3,4,2,7,3.5,0,50,1.8,0,RB,3-73
169,Cordarrelle Patterson,7,2,7,Sun,11,11,2022-11-20,31-248,ATL,,CHI,W 27-24,2,2,7,3.5,0,100,3.5,0,RB,1-29
170,Laviska Shenault Jr.,7,4,7,Sun,11,11,2022-11-20,24-046,CAR,@,BAL,L 3-13,4,4,7,1.8,0,100,1.8,,WR,2-42
171,Jack Stoll,7,1,7,Sun,10,11,2022-11-20,24-296,PHI,@,IND,W 17-16,1,1,7,7,0,100,7,,TE,
172,Maxx Williams,7,1,7,Mon,11,11,2022-11-21,28-223,ARI,,SFO,L 10-38,1,1,7,7,0,100,7,,TE,2-55
173,Marquez Callaway,6,1,6,Sun,11,11,2022-11-20,24-238,NOR,,LAR,W 27-20,1,1,6,6,0,100,6,,WR,
174,Stone Smartt,6,1,6,Sun,10,11,2022-11-20,24-047,LAC,,KAN,L 27-30,1,1,6,6,0,100,6,1,TE,
